feature_id,year,Drought_Days
AADAN,2000,0
AADAN,2001,0
AADAN,2002,0
AADAN,2003,0
AADAN,2004,0
AADAN,2005,0
AADAN,2006,0
AADAN,2007,0
AADAN,2008,26
AADAN,2009,61
AADAN,2010,0
AADAN,2011,2
AADAN,2012,0
AADAN,2013,0
AADAN,2014,5
AADAN,2015,0
AADAN,2016,0
AADAN,2017,0
AADAN,2018,0
AADAN,2019,0
AADAN,2020,0
AADAN,2021,64
AADAN,2022,64
AADAN,2023,62
AADAN,2024,0
AADAN,2025,0
ABAJI,2000,0
ABAJI,2001,0
ABAJI,2002,7
ABAJI,2003,5
ABAJI,2004,0
ABAJI,2005,0
ABAJI,2006,0
ABAJI,2007,0
ABAJI,2008,0
ABAJI,2009,6
ABAJI,2010,0
ABAJI,2011,0
ABAJI,2012,0
ABAJI,2013,0
ABAJI,2014,0
ABAJI,2015,26
ABAJI,2016,0
ABAJI,2017,0
ABAJI,2018,0
ABAJI,2019,0
ABAJI,2020,4
ABAJI,2021,42
ABAJI,2022,18
ABAJI,2023,0
ABAJI,2024,42
ABAJI,2025,25
ABAKALIKI,2000,18
ABAKALIKI,2001,0
ABAKALIKI,2002,2
ABAKALIKI,2003,30
ABAKALIKI,2004,1
ABAKALIKI,2005,2
ABAKALIKI,2006,29
ABAKALIKI,2007,1
ABAKALIKI,2008,2
ABAKALIKI,2009,2
ABAKALIKI,2010,22
ABAKALIKI,2011,16
ABAKALIKI,2012,0
ABAKALIKI,2013,3
ABAKALIKI,2014,2
ABAKALIKI,2015,18
ABAKALIKI,2016,6
ABAKALIKI,2017,1
ABAKALIKI,2018,2
ABAKALIKI,2019,5
ABAKALIKI,2020,6
ABAKALIKI,2021,49
ABAKALIKI,2022,32
ABAKALIKI,2023,32
ABAKALIKI,2024,55
ABAKALIKI,2025,47
ABIDJAN,2000,40
ABIDJAN,2001,9
ABIDJAN,2002,14
ABIDJAN,2003,29
ABIDJAN,2004,39
ABIDJAN,2005,11
ABIDJAN,2006,5
ABIDJAN,2007,18
ABIDJAN,2008,2
ABIDJAN,2009,4
ABIDJAN,2010,4
ABIDJAN,2011,7
ABIDJAN,2012,2
ABIDJAN,2013,7
ABIDJAN,2014,3
ABIDJAN,2015,6
ABIDJAN,2016,6
ABIDJAN,2017,3
ABIDJAN,2018,1
ABIDJAN,2019,9
ABIDJAN,2020,12
ABIDJAN,2021,19
ABIDJAN,2022,7
ABIDJAN,2023,17
ABIDJAN,2024,42
ABIDJAN,2025,27
ABU AL-MATAMIR,2000,0
ABU AL-MATAMIR,2001,0
ABU AL-MATAMIR,2002,0
ABU AL-MATAMIR,2003,0
ABU AL-MATAMIR,2004,0
ABU AL-MATAMIR,2005,0
ABU AL-MATAMIR,2006,0
ABU AL-MATAMIR,2007,0
ABU AL-MATAMIR,2008,0
ABU AL-MATAMIR,2009,19
ABU AL-MATAMIR,2010,19
ABU AL-MATAMIR,2011,19
ABU AL-MATAMIR,2012,0
ABU AL-MATAMIR,2013,0
ABU AL-MATAMIR,2014,0
ABU AL-MATAMIR,2015,15
ABU AL-MATAMIR,2016,0
ABU AL-MATAMIR,2017,0
ABU AL-MATAMIR,2018,0
ABU AL-MATAMIR,2019,0
ABU AL-MATAMIR,2020,0
